"SITE_ID","YEAR","SEASON","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"PET427","2009.0","SU","06/02/2009 09:00:00","09/01/2009 08:00:00","0.46","0.86","0.284","0.886","1.156","0.314","0.243","0.093","0.034","0.053","0.026"
"ARE128","2010.0","WI","12/01/2009 09:00:00","03/02/2010 08:00:00","7.438","2.453","1.713","1.431","3.121","1.253","0.128","0.14","0.022","0.06","0.076"
"ROM406","2001.0","SU","05/29/2001 09:00:00","09/04/2001 08:00:00","0.406","0.94","0.193","0.834","1.013","0.361","0.134","0.039","0.018","0.039",""
"SHN418","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.449","1.439","0.236","0.77","0.994","0.517","0.155","0.05","0.028","0.047","0.03"
"CVL151","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","3.441","2.658","0.8","1.832","2.603","1.002","0.128","0.144","0.029","0.062","0.063"
"PIN414","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","0.481","1.274","1.082","0.961","2.028","0.254","0.183","0.682","0.111","0.068","0.36"
"WSP144","2007.0","SP","02/27/2007 09:00:00","05/29/2007 08:00:00","5.452","2.939","0.886","2.114","2.967","0.991","0.178","0.236","0.054","0.052","0.083"
"SHN418","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.283","1.162","0.219","0.621","0.83","0.438","0.134","0.049","0.027","0.052","0.03"
"BVL130","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","3.55","4.59","0.654","2.476","3.09","1.493","0.598","0.061","0.112","0.125","0.033"
"DCP114","2009.0","SU","06/02/2009 09:00:00","09/01/2009 08:00:00","1.908","4.073","0.367","1.784","2.123","1.429","0.273","0.027","0.065","0.122","0.033"
"ROM406","2003.0","FA","09/02/2003 09:00:00","12/02/2003 08:00:00","0.357","0.485","0.237","0.485","0.715","0.217","0.097","0.018","0.012","0.024","0.013"
"PAR107","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","2.823","1.867","0.841","0.616","1.447","0.676","0.452","0.117","0.033","0.09","0.091"
"BFT142","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","1.554","4.778","1.245","0.991","2.221","1.042","0.452","1.064","0.153","0.106",""
"MKG113","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","1.737","1.855","0.836","1.054","1.874","0.736","0.303","0.102","0.044","0.06","0.05"
"CKT136","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","2.295","2.218","0.462","1.146","1.59","0.785","0.242","0.091","0.037","0.06","0.032"
"DEN417","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.33","0.391","0.076","0.062","0.137","0.129","0.046","0.05","0.014","0.012","0.041"
"CAT175","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.513","0.876","0.522","0.697","1.207","0.364","0.168","0.082","0.03","0.034","0.044"
"CDR119","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.933","1.128","0.534","0.568","1.093","0.462","0.13","0.066","0.02","0.047","0.039"
"CDR119","2003.0","FA","09/02/2003 09:00:00","12/02/2003 08:00:00","4.146","3.82","0.163","1.033","1.18","1.262","0.149","0.032","0.024","0.074","0.034"
"CDZ171","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.474","1.585","0.298","0.827","1.111","0.504","0.288","0.087","0.045","0.099","0.034"
"GRB411","2001.0","SU","05/29/2001 09:00:00","09/04/2001 08:00:00","0.266","0.845","0.233","0.979","1.197","0.304","0.286","0.096","0.031","0.043",""
"CAD150","2002.0","SP","02/26/2002 09:00:00","06/04/2002 08:00:00","0.925","3.239","0.566","1.132","1.679","0.972","0.169","0.348","0.058","0.102",""
"GAS153","2012.0","WI","11/29/2011 09:00:00","02/28/2012 08:00:00","1.666","1.671","0.594","0.85","1.43","0.618","0.094","0.22","0.034","0.064","0.118"
"ROM406","2012.0","SP","02/28/2012 09:00:00","05/29/2012 08:00:00","0.187","0.612","0.285","0.369","0.648","0.212","0.256","0.046","0.036","0.036","0.017"
"ANA115","2003.0","SP","03/04/2003 09:00:00","06/03/2003 08:00:00","5.684","3.33","2.484","2.14","4.59","1.557","0.451","0.103","0.103","0.061",""
"HVT424","2003.0","SP","03/04/2003 09:00:00","06/03/2003 08:00:00","59.074","3.872","0.105","0.185","0.287","0.166","0.062","0.487","0.068","0.053",""
"BBE401","2010.0","SP","03/02/2010 09:00:00","06/01/2010 08:00:00","0.508","1.751","0.39","0.468","0.851","0.507","0.467","0.165","0.049","0.063","0.024"
"BBE401","2007.0","SP","02/27/2007 09:00:00","05/29/2007 08:00:00","0.779","2.492","0.461","0.702","1.151","0.691","0.443","0.173","0.053","0.07","0.025"
"MCK231","2001.0","SP","02/27/2001 09:00:00","05/29/2001 08:00:00","6.702","4.81","2.131","2.42","4.512","2.081","0.427","0.227","0.073","0.084",""
"PAL190","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","0.661","1.102","0.719","0.604","1.314","0.408","0.928","0.102","0.078","0.119","0.035"
"COW137","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.32","1.197","0.21","0.391","0.595","0.415","0.084","0.106","0.026","0.061","0.057"
"PRK134","2002.0","SU","06/04/2002 09:00:00","09/03/2002 08:00:00","0.968","2.916","0.46","1.241","1.681","0.947","0.399","0.026","0.071","0.082",""
"ALC188","2012.0","FA","09/04/2012 09:00:00","12/04/2012 08:00:00","1.082","2.257","0.556","0.98","1.521","0.477","0.347","0.383","0.073","0.109","0.144"
"GRC474","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.163","0.56","0.297","0.646","0.933","0.198","0.212","0.11","0.035","0.042","0.048"
"VOY413","2019.0","SP","02/26/2019 09:00:00","06/04/2019 08:00:00","0.198","0.513","0.348","0.238","0.583","0.258","0.069","0.034","0.021","0.026","0.024"
"ACA416","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","0.971","1.076","0.637","0.409","1.04","0.389","0.049","0.41","0.042","0.045","0.358"
"BWR139","2006.0","SU","05/30/2006 09:00:00","08/29/2006 08:00:00","6.638","7.575","0.174","2.5","2.635","2.121","0.177","0.377","0.075","0.088","0.13"
"PNF126","2003.0","SU","06/03/2003 09:00:00","09/02/2003 08:00:00","1.073","6.53","0.063","1.085","1.13","1.532","0.079","0.03","0.019","0.052",""
"BFT142","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","0.667","1.198","0.611","0.26","0.867","0.288","0.155","1.092","0.143","0.11","1.745"
"PET427","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.324","0.553","0.204","0.507","0.703","0.22","0.463","0.062","0.028","0.033","0.028"
"WST109","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.49","0.948","0.246","0.333","0.574","0.346","0.087","0.092","0.022","0.036","0.063"
"MKG113","2010.0","WI","12/01/2009 09:00:00","03/02/2010 08:00:00","6.823","2.314","1.919","1.094","2.996","1.19","0.167","0.223","0.025","0.068","0.158"
"POF425","2000.0","FA","08/29/2000 09:00:00","11/28/2000 08:00:00","0.203","0.149","0.042","0.058","0.099","0.048","","","","",""
"CDR119","2014.0","FA","09/02/2014 09:00:00","12/02/2014 08:00:00","0.806","1.689","0.255","0.41","0.658","0.611","0.122","0.031","0.019","0.054","0.035"
"CHA467","2012.0","SP","02/28/2012 09:00:00","05/29/2012 08:00:00","0.392","0.852","0.407","0.397","0.798","0.298","0.395","0.154","0.053","0.056","0.11"
"LAV410","2004.0","SP","03/02/2004 09:00:00","06/01/2004 08:00:00","0.208","0.626","0.261","0.313","0.569","0.196","0.091","0.079","0.023","0.027","0.021"
"CKT136","2016.0","FA","08/30/2016 09:00:00","11/29/2016 08:00:00","0.915","1.376","0.464","0.854","1.304","0.542","0.244","0.07","0.034","0.054","0.034"
"PND165","2010.0","FA","08/31/2010 09:00:00","11/30/2010 08:00:00","0.268","0.354","0.106","0.273","0.374","0.146","0.104","0.025","0.014","0.022","0.013"
"MKG113","2012.0","WI","11/29/2011 09:00:00","02/28/2012 08:00:00","3.98","1.968","1.992","0.766","2.746","1.122","0.23","0.163","0.03","0.056","0.159"
"ROM206","2019.0","SU","06/04/2019 09:00:00","09/03/2019 08:00:00","0.134","0.45","0.138","0.419","0.55","0.184","0.123","0.031","0.019","0.034","0.012"
"JOT403","2001.0","SU","05/29/2001 09:00:00","09/04/2001 08:00:00","0.93","1.874","1.263","3.295","4.505","0.641","0.463","0.316","0.077","0.115",""
"SHN418","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","1.035","1.753","0.72","0.774","1.482","0.668","0.15","0.114","0.034","0.041","0.046"
"CHA467","2019.0","FA","09/03/2019 09:00:00","12/03/2019 08:00:00","0.18","0.548","0.266","0.345","0.605","0.191","0.226","0.093","0.028","0.038","0.045"
"PED108","2012.0","WI","11/29/2011 09:00:00","02/28/2012 08:00:00","1.499","1.642","0.644","0.867","1.497","0.7","0.077","0.108","0.02","0.056","0.054"
"YEL408","2001.0","SP","02/27/2001 09:00:00","05/29/2001 08:00:00","0.969","0.691","0.274","0.191","0.462","0.272","0.147","0.03","0.023","0.024",""
"BWR139","2002.0","FA","09/03/2002 09:00:00","12/03/2002 08:00:00","6.065","4.024","1.273","1.938","3.18","1.463","0.13","0.356","0.06","0.067",""
"GRB411","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","0.162","0.211","0.094","0.207","0.298","0.085","0.037","0.016","0.005","0.007","0.014"
"PRK134","2007.0","SP","02/27/2007 09:00:00","05/29/2007 08:00:00","1.297","1.83","1.259","1.018","2.261","0.903","0.218","0.042","0.05","0.046","0.037"
"THR422","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","0.521","1.007","0.55","0.471","1.014","0.382","0.319","0.054","0.048","0.032","0.019"
"CDZ171","2010.0","SU","06/01/2010 09:00:00","08/31/2010 08:00:00","1.663","3.708","0.342","1.178","1.502","1.19","0.295","0.138","0.051","0.107","0.033"
"BFT142","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","1.488","5.286","0.576","0.974","1.535","1.166","0.629","0.721","0.113","0.094","0.365"
"ANA115","2005.0","SP","03/01/2005 09:00:00","05/31/2005 08:00:00","4.633","3.018","2.041","1.922","3.932","1.365","0.611","0.084","0.136","0.058","0.042"
"HWF187","2005.0","SP","03/01/2005 09:00:00","05/31/2005 08:00:00","1.228","1.661","0.185","0.669","0.843","0.559","0.09","0.046","0.018","0.024","0.034"
"GLR468","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.236","0.247","0.337","0.234","0.567","0.154","0.024","0.04","0.007","0.031","0.021"
"CTH110","2006.0","WI","11/29/2005 09:00:00","02/28/2006 08:00:00","9.046","2.346","1.043","1.861","2.875","0.948","0.114","0.126","0.02","0.037","0.05"
"DCP114","2010.0","FA","08/31/2010 09:00:00","11/30/2010 08:00:00","3.384","2.314","1.355","1.361","2.694","1.056","0.482","0.05","0.094","0.117","0.035"
"GAS153","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","","","","","","","","","","",""
"UVL124","2006.0","SU","05/30/2006 09:00:00","08/29/2006 08:00:00","2.152","3.087","0.355","1.56","1.89","1.037","0.385","0.03","0.075","0.084","0.033"
"COW137","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","2.229","1.858","0.183","0.795","0.966","0.585","0.046","0.086","0.014","0.049","0.046"
"MAC426","2008.0","WI","12/04/2007 09:00:00","03/04/2008 08:00:00","5.283","2.879","1.946","1.503","3.425","1.454","0.17","0.104","0.025","0.055","0.046"
"MCK131","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.879","2.842","0.243","1.003","1.23","1.013","0.194","0.047","0.032","0.082","0.032"
"GAS153","2005.0","WI","11/30/2004 09:00:00","03/01/2005 08:00:00","7.04","2.787","0.511","2.11","2.587","0.942","0.1","0.172","0.029","0.07","0.036"
"CAD150","2004.0","FA","08/31/2004 09:00:00","11/30/2004 08:00:00","1.537","3.343","0.357","0.956","1.298","1.131","0.168","0.146","0.039","0.115","0.047"
"DCP114","2009.0","SP","03/03/2009 09:00:00","06/02/2009 08:00:00","4.231","3.13","1.239","1.668","2.881","1.32","0.304","0.103","0.066","0.069","0.048"
"UVL124","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","6.964","2.265","3.591","1.087","4.661","1.606","0.222","0.182","0.044","0.058","0.145"
"YEL408","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","","","","","","","","","","",""
"VIN140","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","1.291","1.427","1.337","1.077","2.396","0.686","0.933","0.083","0.071","0.075","0.05"
"MCK231","2002.0","SU","06/04/2002 09:00:00","09/03/2002 08:00:00","5.39","8.564","0.328","2.977","3.257","2.803","0.288","0.075","0.043","0.098",""
"CTH110","2009.0","SU","06/02/2009 09:00:00","09/01/2009 08:00:00","1.301","2.983","0.21","0.818","1.015","0.994","0.164","0.027","0.028","0.057","0.032"
"CNT169","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.218","0.369","0.154","0.211","0.362","0.118","0.124","0.032","0.019","0.015","0.015"
"COW137","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.447","0.691","0.289","0.304","0.588","0.244","0.061","0.111","0.018","0.051","0.059"
"BBE401","2006.0","SP","02/28/2006 09:00:00","05/30/2006 08:00:00","0.883","2.446","0.733","0.66","1.382","0.761","0.723","0.271","0.073","0.103","0.043"
"WFM105","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","0.273","0.545","0.469","0.351","0.815","0.273","0.053","0.085","0.012","0.019","0.058"
"BWR139","2000.0","WI","11/30/1999 09:00:00","02/29/2000 08:00:00","12.146","3.31","2.338","2.287","4.588","1.595","","","","",""
"BFT142","2019.0","FA","09/03/2019 09:00:00","12/03/2019 08:00:00","0.417","1.049","0.715","0.275","0.986","0.249","0.126","1.01","0.128","0.072","1.417"
"HOW191","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.539","0.826","0.299","0.258","0.499","0.297","0.034","0.172","0.02","0.032","0.107"
"VOY413","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.404","0.626","0.897","0.214","1.108","0.377","0.096","0.093","0.03","0.033","0.068"
"VPI120","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.581","1.007","0.426","0.628","1.043","0.388","0.188","0.067","0.034","0.044","0.04"
"CAN407","2001.0","SU","05/29/2001 09:00:00","09/04/2001 08:00:00","0.442","0.904","0.176","1.208","1.365","0.314","0.189","0.065","0.027","0.043",""
"SPD111","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.411","2.412","0.114","0.705","0.808","0.878","0.215","0.042","0.033","0.083","0.033"
"BFT142","2014.0","FA","09/02/2014 09:00:00","12/02/2014 08:00:00","0.765","1.523","0.678","0.362","1.033","0.377","0.19","0.67","0.09","0.068","0.627"
"ACA416","2012.0","WI","11/29/2011 09:00:00","02/28/2012 08:00:00","0.73","0.922","0.658","0.371","1.023","0.28","0.049","0.491","0.057","0.052","0.503"
"PAR107","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.293","1.441","0.145","0.494","0.631","0.507","0.197","0.027","0.027","0.092","0.033"
"CNT169","2009.0","WI","12/02/2008 09:00:00","03/03/2009 08:00:00","0.199","0.183","0.045","0.18","0.223","0.071","0.018","0.007","0.003","0.009","0.013"
"MEV405","2019.0","SP","02/26/2019 09:00:00","06/04/2019 08:00:00","0.126","0.376","0.187","0.299","0.481","0.132","0.151","0.043","0.023","0.022","0.021"
"YOS404","2009.0","WI","12/02/2008 09:00:00","03/03/2009 08:00:00","0.086","0.159","0.088","0.13","0.216","0.055","0.029","0.027","0.006","0.018","0.02"
"PNF126","2009.0","WI","12/02/2008 09:00:00","03/03/2009 08:00:00","1.699","1.558","0.468","0.808","1.263","0.571","0.099","0.108","0.022","0.053","0.044"
"QAK172","2000.0","SP","02/29/2000 09:00:00","05/30/2000 08:00:00","18.225","4.724","1.215","3.785","4.94","1.575","0.436","0.099","0.08","0.071",""
"HOW132","2000.0","WI","11/30/1999 09:00:00","02/29/2000 08:00:00","2.704","1.627","0.44","0.699","1.128","0.525","","","","",""
"ALH157","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","1.696","2.196","2.247","1.149","3.378","1.233","0.518","0.117","0.067","0.072","0.065"
"LAV410","2002.0","FA","09/03/2002 09:00:00","12/03/2002 08:00:00","0.236","0.422","0.174","0.5","0.666","0.185","0.051","0.041","0.012","0.026",""
"VOY413","2000.0","FA","08/29/2000 09:00:00","11/28/2000 08:00:00","0.847","1.314","0.71","0.671","1.37","0.549","0.273","0.039","0.052","0.088",""
"PIN414","2003.0","FA","09/02/2003 09:00:00","12/02/2003 08:00:00","0.422","1.02","0.981","1.371","2.331","0.237","0.191","0.449","0.082","0.077","0.193"
"SND152","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","4.588","8.38","0.493","3.015","3.459","2.96","0.295","0.169","0.057","0.144",""
"VIN140","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","2.178","1.643","2.203","0.74","2.932","1.035","0.313","0.122","0.035","0.05","0.1"
"KEF112","2007.0","SP","02/27/2007 09:00:00","05/29/2007 08:00:00","5.721","2.987","0.401","1.518","1.895","1.0","0.163","0.065","0.034","0.037","0.034"
"UVL124","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","2.292","1.614","2.639","0.519","3.149","1.244","0.194","0.103","0.032","0.047","0.108"
"ROM206","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","0.149","0.254","0.121","0.18","0.298","0.125","0.027","0.016","0.004","0.008","0.014"
"HWF187","2010.0","SP","03/02/2010 09:00:00","06/01/2010 08:00:00","0.481","1.095","0.221","0.303","0.52","0.4","0.122","0.043","0.023","0.052","0.035"
"PIN414","2011.0","FA","08/30/2011 09:00:00","11/29/2011 08:00:00","0.248","1.06","0.72","0.812","1.519","0.258","0.147","0.387","0.068","0.067","0.131"
"ROM206","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","0.353","0.787","0.139","0.805","0.931","0.316","0.111","0.025","0.017","0.041","0.012"
"DCP114","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","9.764","2.704","2.956","1.595","4.525","1.643","0.269","0.14","0.046","0.051",""
"ESP127","2006.0","FA","08/29/2006 09:00:00","11/28/2006 08:00:00","3.324","4.058","0.219","1.239","1.439","1.279","0.161","0.04","0.022","0.062","0.038"
"HOW132","2001.0","SP","02/27/2001 09:00:00","05/29/2001 08:00:00","1.407","1.587","0.254","0.524","0.77","0.489","0.084","0.132","0.027","0.03",""
"PED108","2000.0","FA","08/29/2000 09:00:00","11/28/2000 08:00:00","4.244","4.631","0.314","1.545","1.834","1.559","0.117","0.179","0.037","0.073",""
"PAL190","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.778","1.953","0.678","0.895","1.558","0.575","0.7","0.168","0.06","0.077","0.028"
"GAS153","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","7.327","2.498","0.709","2.029","2.705","0.897","0.105","0.207","0.031","0.067",""
"PNF126","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.441","1.131","0.447","0.598","1.036","0.418","0.16","0.113","0.039","0.053","0.041"
"CON186","2009.0","SP","03/03/2009 09:00:00","06/02/2009 08:00:00","0.313","1.322","1.9","2.02","3.887","0.613","0.282","0.347","0.07","0.067","0.059"
"VIN140","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","2.051","3.244","0.72","1.084","1.786","0.97","0.938","0.102","0.097","0.108","0.046"
"GLR468","2010.0","WI","12/01/2009 09:00:00","03/02/2010 08:00:00","0.268","0.436","0.447","0.197","0.641","0.262","0.026","0.038","0.006","0.028","0.022"
"CAN407","2005.0","WI","11/30/2004 09:00:00","03/01/2005 08:00:00","0.427","0.441","0.391","1.016","1.39","0.2","0.049","0.029","0.007","0.045","0.014"
"ACA416","2009.0","SP","03/03/2009 09:00:00","06/02/2009 08:00:00","0.86","1.463","0.508","0.442","0.943","0.342","0.081","0.436","0.063","0.053","0.262"
"PET427","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.469","0.34","0.269","0.695","0.953","0.166","0.107","0.032","0.012","0.015","0.017"
"YEL408","2012.0","SP","02/28/2012 09:00:00","05/29/2012 08:00:00","0.902","0.54","0.233","0.128","0.36","0.193","0.188","0.055","0.032","0.03","0.037"
"CNT169","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.303","0.419","0.152","0.369","0.515","0.183","0.136","0.037","0.02","0.039","0.013"
"CHE185","2005.0","FA","08/30/2005 09:00:00","11/29/2005 08:00:00","2.058","3.692","0.649","1.394","2.021","1.213","0.454","0.113","0.048","0.097","0.039"
"MCK131","2009.0","SP","03/03/2009 09:00:00","06/02/2009 08:00:00","3.972","3.231","0.712","1.58","2.266","1.202","0.259","0.167","0.048","0.075","0.049"
"CND125","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.406","1.678","0.188","0.919","1.093","0.497","0.125","0.13","0.04","0.082","0.033"
"SND152","2009.0","SU","06/02/2009 09:00:00","09/01/2009 08:00:00","1.054","3.371","0.265","1.125","1.372","1.183","0.226","0.099","0.041","0.106","0.034"
"COW137","2019.0","SP","02/26/2019 09:00:00","06/04/2019 08:00:00","0.188","0.862","0.204","0.379","0.577","0.292","0.084","0.108","0.027","0.068","0.049"
"STK138","2000.0","WI","11/30/1999 09:00:00","02/29/2000 08:00:00","4.959","2.44","5.962","0.491","6.445","2.347","","","","",""
"EGB181","2011.0","SP","03/01/2011 09:00:00","05/31/2011 08:00:00","0.893","1.557","1.056","0.692","1.737","0.694","0.364","0.086","0.042","0.045","0.063"
"ARE128","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","4.156","2.026","2.582","0.844","3.412","1.303","0.182","0.208","0.032","0.059","0.149"
"KEF112","2011.0","FA","08/30/2011 09:00:00","11/29/2011 08:00:00","2.394","2.014","0.404","0.765","1.158","0.705","0.152","0.076","0.03","0.058","0.048"
"CAT175","2006.0","WI","11/29/2005 09:00:00","02/28/2006 08:00:00","7.298","2.054","0.515","2.212","2.692","0.697","0.089","0.096","0.016","0.029","0.034"
"ANA115","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","2.205","3.719","0.225","1.808","2.004","1.208","0.376","0.037","0.099","0.098","0.033"
"EGB181","2005.0","WI","11/30/2004 09:00:00","03/01/2005 08:00:00","5.079","2.104","3.063","0.431","3.487","1.352","0.447","0.318","0.041","0.043","0.453"
"VOY413","1999.0","FA","08/31/1999 09:00:00","11/30/1999 08:00:00","0.696","0.973","0.644","0.465","1.102","0.345","","","","",""
"PED108","2006.0","WI","11/29/2005 09:00:00","02/28/2006 08:00:00","8.232","2.546","0.35","1.932","2.251","0.892","0.082","0.075","0.018","0.05","0.035"
"CVL151","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.727","1.002","0.775","0.625","1.39","0.399","0.217","0.161","0.035","0.06","0.079"
"ABT147","2008.0","SP","03/04/2008 09:00:00","06/03/2008 08:00:00","1.762","1.946","0.628","1.098","1.709","0.604","0.12","0.336","0.057","0.052","0.186"
"KVA428","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","","","","","","","","","","",""
"PIN414","2010.0","SU","06/01/2010 09:00:00","08/31/2010 08:00:00","0.356","1.215","0.781","0.757","1.526","0.227","0.167","0.664","0.107","0.085","0.502"
"BVL130","2012.0","SP","02/28/2012 09:00:00","05/29/2012 08:00:00","2.357","2.37","1.456","1.709","3.138","0.976","0.644","0.121","0.113","0.08","0.052"
"ALH157","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","1.375","1.688","1.386","1.12","2.488","0.824","0.426","0.079","0.057","0.063","0.042"
"ROM206","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.155","0.325","0.178","0.299","0.473","0.126","0.086","0.023","0.012","0.013","0.014"
"PND165","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","0.188","0.485","0.102","0.368","0.464","0.206","0.108","0.031","0.016","0.029","0.013"
"GRB411","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.221","0.53","0.231","0.491","0.714","0.196","0.466","0.126","0.047","0.055","0.108"
"BFT142","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","6.512","3.226","1.366","1.677","3.017","0.907","0.184","0.753","0.096","0.074",""
"PED108","2010.0","SU","06/01/2010 09:00:00","08/31/2010 08:00:00","1.013","3.884","0.153","1.012","1.149","1.239","0.089","0.164","0.035","0.091","0.083"
"BFT142","2012.0","SU","05/29/2012 09:00:00","09/04/2012 08:00:00","0.748","2.194","0.754","0.432","1.179","0.49","0.148","0.959","0.129","0.107","0.828"
"PAR107","2003.0","SP","03/04/2003 09:00:00","06/03/2003 08:00:00","4.622","4.06","0.418","1.321","1.718","1.131","0.539","0.065","0.047","0.097",""
"PNF126","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","1.588","2.519","0.298","0.853","1.138","0.801","0.118","0.059","0.022","0.048","0.03"
"ABT147","2001.0","SP","02/27/2001 09:00:00","05/29/2001 08:00:00","4.076","2.697","0.687","2.076","2.73","0.925","0.157","0.256","0.049","0.047",""
"ROM206","2010.0","FA","08/31/2010 09:00:00","11/30/2010 08:00:00","0.27","0.422","0.133","0.322","0.45","0.179","0.095","0.017","0.013","0.025","0.017"
"KEF112","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","1.02","1.35","0.336","0.632","0.958","0.456","0.148","0.088","0.031","0.041","0.069"
"DCP114","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","0.912","1.235","0.759","1.032","1.774","0.571","0.224","0.097","0.051","0.061","0.059"
"COW137","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","0.281","1.427","0.114","0.276","0.386","0.578","0.049","0.047","0.012","0.052","0.04"
"MKG113","2001.0","FA","09/04/2001 09:00:00","12/04/2001 08:00:00","11.902","3.776","1.191","1.877","3.038","1.438","0.298","0.118","0.044","0.076",""
"OXF122","2008.0","SU","06/03/2008 09:00:00","09/02/2008 08:00:00","3.927","4.376","0.323","1.827","2.121","1.428","0.381","0.059","0.09","0.11","0.032"
"WSP144","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","15.754","2.558","2.286","1.716","3.974","1.251","0.186","0.383","0.043","0.058","0.259"
"SPD111","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","2.086","3.209","0.601","0.903","1.49","1.01","0.709","0.053","0.05","0.08","0.033"
"VIN140","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","11.107","2.714","3.669","1.049","4.702","1.771","0.548","0.104","0.054","0.056",""
"CNT169","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.15","0.279","0.117","0.182","0.296","0.099","0.06","0.019","0.01","0.01","0.012"
"CNT169","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","0.251","0.382","0.145","0.196","0.337","0.144","0.083","0.023","0.013","0.016","0.013"
